GSM1014798_AFX_1_N1.CEL.gz,GSM1014799_AFX_1_N2.CEL.gz,GSM1014800_AFX_1_N3.CEL.gz,GSM1014801_AFX_1_N4.CEL.gz,GSM1014802_AFX_1_N5.CEL.gz,GSM1014803_AFX_1_T1.CEL.gz,GSM1014804_AFX_1_T2.CEL.gz,GSM1014805_AFX_1_T3.CEL.gz,GSM1014806_AFX_1_T4.CEL.gz,GSM1014807_AFX_1_T5.CEL.gz,GSM1014808_AFX_2_N1.CEL.gz,GSM1014809_AFX_2_N2.CEL.gz,GSM1014810_AFX_2_N3.CEL.gz,GSM1014811_AFX_2_N4.CEL.gz,GSM1014812_AFX_2_N5.CEL.gz,GSM1014813_AFX_2_T1.CEL.gz,GSM1014814_AFX_2_T2.CEL.gz,GSM1014815_AFX_2_T3.CEL.gz,GSM1014816_AFX_2_T4.CEL.gz,GSM1014817_AFX_2_T5.CEL.gz
8.005408,7.621163,7.819814,7.627161,7.736112,7.950331,7.452824,7.068938,7.548175,7.243601,7.841592,7.458506,7.605344,7.604795,7.704159,7.816904,7.590197,7.199371,7.632092,7.261742
5.275615,5.283849,5.364709,5.17858,5.309075,5.454393,5.585543,5.02174,4.924608,5.233134,5.42892,5.229241,5.388117,5.095086,5.206496,5.337033,5.589401,5.324281,4.928947,5.167001
7.48388,7.377026,7.466688,7.456954,7.776622,7.0011355,6.925026,7.0553325,6.897999,6.345514,7.5095,7.682456,7.586694,7.2268565,7.323901,6.795508,6.972113,6.9123735,6.861711,6.0978805
6.26128,6.3741502,6.4215314,5.8981942,6.256723,5.9887016,5.6201356,5.2445734,5.4870786,5.1914754,6.2074768,6.2294438,6.4194408,5.8000254,6.206553,5.8333206,5.599539,5.2066196,5.5221016,5.0115918
6.972252,6.50972375,7.17140975,7.13796075,7.1802865,7.0620985,7.70585775,7.22171625,7.48978825,7.1595395,6.88423225,6.38209125,7.225256,7.1044075,7.294158,7.20485925,7.76381525,7.31091325,7.5065285,7.31196875
8.163943,8.168185,7.912044,7.920402,7.996498,7.90505,7.957726,7.36741,7.999379,6.921974,8.118595,8.119456,7.948266,7.92225,8.213384,8.231712,8.067814,7.718329,8.012108,6.987155
7.44916,5.745657,7.188911,7.558964,6.505146,7.666937,7.856368,7.296763,8.552948,6.31488,7.445981,5.89219,7.247904,7.506051,7.03867,7.905074,7.75242,7.326883,8.735565,6.606345
5.017746,5.038894,5.4738775,5.227968,6.182735,5.1353385,6.185902,4.6145445,4.3619985,6.1344765,4.9383965,5.041311,5.4090055,5.4762805,6.6162235,5.296626,6.177157,4.5629975,3.536112,6.354903
3.425455333,3.479540833,3.510354333,3.5033195,3.515562667,3.648098333,3.374890333,3.405188,3.430667167,3.677227833,3.433741,3.505227167,3.4943005,3.409056833,3.163631667,3.249215833,3.311463167,3.205483,3.201146667,3.567845333
3.554836,3.024262,3.031173,3.494324,3.388262,3.051759,3.237805,3.233444,3.068189,3.227932,3.561772,3.874381,3.417266,3.314138,3.224829,3.561503,3.441408,3.466963,3.123907,3.402799
5.890021667,6.009205667,5.455694333,5.583265667,5.860893333,5.676101667,5.639719667,5.993799,5.866977333,5.119339333,6.01908,6.203289333,5.483716667,5.543794,5.961946667,5.728759667,5.689981667,6.251650667,6.065611,5.252094
12.66328183,12.966898,12.46908733,12.412184,12.7836885,12.428885,12.49537767,12.76386117,12.64038883,12.30361983,12.6957295,13.02650983,12.47550933,12.3123805,12.75458617,12.48555717,12.49148183,12.786004,12.64312133,12.38376983
6.308334,6.4117,5.179162,5.558713,6.233986,6.517929,5.828876,6.776743,5.630991,4.711598,5.760801,6.752163,5.796168,5.495896,6.434119,6.250965,5.922155,6.480339,5.697029,4.606124
12.78918244,13.09353233,12.86107711,12.89245133,12.92140522,12.99264844,12.83209078,12.71319478,12.94838633,12.95007967,12.78266833,13.09797822,12.76320389,12.87526356,12.94353267,12.89367156,12.75490922,12.65890467,12.91887578,12.89071667
8.6412175,8.7677,6.8014,7.289562,8.553672,7.607222,7.217252,7.770342,6.817586,7.104967,8.4006865,8.799472,6.749258,7.2347355,8.364328,7.6259455,7.2092985,7.600187,6.5968655,7.0987355
9.413259,10.156888,9.105372,9.441955,9.338786,9.2983,9.440962,9.23074,9.229818,8.459743,9.474174,10.374632,9.167855,9.459439,9.363356,9.47428,9.401875,9.289025,9.316285,8.332518
8.064041,8.02871,8.760353,8.416509,8.353815,9.013416,9.277454,8.183524,8.459927,9.300983,8.11986,7.747042,8.750879,8.436899,8.004334,8.06217,9.414601,8.044937,8.679434,8.899502
8.22944025,8.48766375,7.297665,7.526239,7.9944715,8.0781115,8.22393175,8.377196,8.312446,7.6765475,8.16232925,8.50006675,7.31721125,7.44494125,7.99374375,8.322757,8.131696,8.423669,8.195622,7.768543
3.0660545,3.0942575,3.13964225,3.10978375,3.26207225,3.1720565,3.0778835,3.18502025,3.203837,3.2923715,3.26213525,3.34531475,3.20118275,3.17340825,2.96935975,3.314898,3.098146,3.1111875,3.151462,3.0840725
3.823275,3.765702,3.740911,4.174852,3.774804,3.630406,3.937724,3.866304,3.927053,4.144026,3.743436,3.754551,3.609615,3.291938,3.251824,3.437541,3.759303,3.879623,3.592077,3.920427
7.422281,6.94096,6.897494,7.114682,7.158434,7.475264,8.089325,8.070816,7.86596,8.13228,7.319318,6.89723,6.811015,7.242128,7.179309,7.28853,8.147895,8.000372,7.989257,7.844873
5.362721667,5.094827,4.975906167,5.182170333,5.1914815,5.156691667,5.396249,4.9441095,4.9408915,4.419550833,5.4538695,5.0760355,5.034525333,5.162527833,5.311755333,5.250942667,5.360359,4.993616167,4.945587333,4.870748333
7.1999725,6.941842,6.859454,6.571406,6.4675935,6.8525335,7.025291,7.0229865,6.3141055,6.433074,7.1948185,6.849274,6.8519475,6.6442065,6.8922175,6.9291475,7.020285,7.256525,6.548481,6.5103775
4.353122,4.415044,4.196307333,3.961611333,4.194916,4.546554333,4.287256667,4.219812,4.347369333,4.703145,4.336008333,4.514544333,4.158931667,3.978036,4.231481333,4.656054,4.276522333,4.173883333,4.304032667,4.740093667
7.21945,7.4388185,6.877436,7.608614,7.03244,7.158156,6.6823445,5.9476565,6.161803,5.9502375,7.179706,7.41377,6.845961,7.391882,7.2895095,7.3202195,6.7071175,5.8851465,6.273686,5.6325835
3.915328,3.913896,3.829426,4.426918,3.907762,3.49058,3.61933,3.845226,3.92658,3.749076,3.882803,4.061683,3.755096,3.91349,3.877747,4.272769,3.638329,3.931426,3.45112,4.296452
6.320889,6.40057,6.978676,7.039465,7.233373,6.328219,7.004844,7.146264,5.906129,7.238465,6.394359,6.160063,7.287632,7.064793,7.468045,6.811198,6.8847,7.484049,6.189692,7.629849
6.810261,6.574724,7.218046,7.040075,7.04886,6.87542,7.177477,6.684233,6.549055,5.559546,6.652023,6.164019,6.897395,7.14244,7.477743,6.883643,7.010143,6.716531,6.769852,5.75951
